time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.01288621122e-08,-8.2134437303e-08,10.006506729,6.28306805608,6.2828962136,0.0,1.74419863634e-05,-9.3531146356e-06,0.216874146907,-0.006181278694,-0.016810000061,0.0,472.8979044372566,471.60158767558914,473.0500870804765,472.57399224930975
0.12000000000000001,1.16762940893e-05,-4.36150124429e-06,10.024412878,6.28307877501,6.28206916534,0.0,0.00047028094765,-0.000150738062999,0.379956655985,0.0105628826995,-0.00833161245857,0.0,455.66812733255983,456.34539469355764,456.4171749182248,457.7513614431092
0.18,6.63158433269e-05,-1.31372145875e-05,10.0514400583,0.000564277459073,6.28160775843,0.0,0.00140288430863,-7.12625244702e-05,0.520894999143,0.0123869806382,-0.00643700300543,0.0,449.0517537723655,449.2055073609561,450.5477695697486,450.6950744653004
0.23999999999999996,0.000184191438725,-2.66312668568e-06,10.0861674609,0.00116199652206,6.2820195785,0.0,0.00251620172157,0.000490839590998,0.636627160565,0.00460765191835,0.0251508635753,0.0,440.96557005303436,443.56685028128265,442.3830158249686,441.7419636682465
0.3,0.000360288204682,6.16223129058e-05,10.1351888865,0.000955053054655,0.000443319234151,0.0,0.00313403825398,0.00166979495404,0.997177418402,-0.0289445074364,0.0299576875972,0.0,512.8748073428703,513.2161040296945,514.9820047323996,512.6036234012323
0.36000000000000004,0.000535834927403,0.000172010260762,10.1935498148,6.28229159594,0.00204861581768,0.0,0.00258071312881,0.00186672360657,0.94822912341,-0.0348378792663,0.0194262608616,0.0,388.4696461864477,387.48124120927486,387.9180343952829,387.36381328208404
0.4200000000000001,0.000650472735613,0.000262304186189,10.2499987431,6.28056202676,0.00419844403727,0.0,0.00108963688784,0.000982498515401,0.933413522314,-0.0189168976635,0.0569194330267,0.0,397.69254631006726,401.11225961884384,399.36457837198657,400.8135623212595
0.48000000000000015,0.000617979942745,0.000264158978499,10.3086048813,6.27972143511,0.00761494915271,0.0,-0.00251404164506,-0.00101779792919,1.0200486323,-0.00566055148134,0.0569863339881,0.0,433.9581937604215,433.9661186164936,432.5566063477903,433.6714725228421
0.5400000000000001,0.000289688644964,0.000127473767459,10.3736620119,6.27961871313,0.0106418657955,0.0,-0.00877568138154,-0.00356038610047,1.14839880804,0.00520219362434,0.0323005655532,0.0,448.2873816587362,446.2787089953098,446.01438296417183,446.90061184378266
0.6000000000000002,-0.000548677638687,-0.000185545688193,10.453211342,6.27983355382,0.0128900201651,0.0,-0.0194600366996,-0.00683509399376,1.50284595396,0.000122366516714,0.0461955648005,0.0,512.1949632119976,513.1825417755697,512.7331031506479,512.3720567142974
0.6600000000000003,-0.00204213200474,-0.000676778519204,10.5500414869,6.28011963597,0.0155188953858,0.0,-0.0306422583619,-0.00951910466687,1.72451346724,0.0127343516158,0.0385694735151,0.0,475.49471065759036,474.9111227745913,476.56660835285066,477.5294849062151
0.7200000000000003,-0.00425095832165,-0.00131391025327,10.6590442936,6.28194993195,0.0181861930311,0.0,-0.0432680228491,-0.011554117226,1.90861996057,0.0527192124851,0.054189623441,0.0,464.5272223558922,465.75140386148,464.6753810403972,467.79935362431837
0.7800000000000004,-0.00714260275314,-0.00201744735011,10.7716345387,0.00171032819125,0.021360465165,0.0,-0.0533719190065,-0.0116588969647,1.84448924225,0.0406320780699,0.0502029423044,0.0,385.5210562169213,385.14649892254056,385.5577446225588,384.4160087925294
0.8400000000000004,-0.0108436020477,-0.00266779559555,10.887394021,0.00417759790678,0.0239867963621,0.0,-0.0703104874,-0.00974470550206,2.01386892127,0.0420815592457,0.0260563974489,0.0,462.68563304418484,460.78174572125334,461.58767065858706,461.70285961058823
0.9000000000000005,-0.0157581584319,-0.00311974526564,11.0191599767,0.0063517162996,0.026395156244,0.0,-0.0937843766695,-0.00498689949118,2.37763738969,0.0207558903195,0.0591652312676,0.0,516.1203372506195,518.4521752950207,518.5705022542485,517.0707871460991
0.9600000000000005,-0.0219801982372,-0.00327390871435,11.1661483787,0.00789185468055,0.0298789220524,0.0,-0.113990378245,-1.29296222611e-06,2.52165670369,0.0340264278286,0.0557622875226,0.0,456.4467565279929,456.17735288580263,455.33997624427394,456.400440085752
1.0200000000000005,-0.0294477754802,-0.00310380236362,11.3203657371,0.00998168736107,0.0335420862722,0.0,-0.135279893244,0.00587939844011,2.61868998023,0.0363918095795,0.0699516014222,0.0,441.2990241944514,442.4713332207048,442.4028290763873,442.5980652295194
1.0800000000000005,-0.0382999810645,-0.00252870131287,11.4812469739,0.0119270111413,0.0373985442409,0.0,-0.160213003009,0.0135071759192,2.74370649356,0.0229868293448,0.049409703167,0.0,452.2940868248595,450.63953798703136,451.9236708757375,450.84226940744577
1.1400000000000006,-0.0487220054287,-0.00145872956441,11.6495235001,0.0131484731233,0.0400881468403,0.0,-0.187476297351,0.0222921529065,2.86519823621,0.0144996610536,0.0335741888584,0.0,452.7550119412079,451.4802540197805,450.2044251496599,449.5171696507841
1.2000000000000006,-0.0606762696562,0.000110661628568,11.8212025101,0.0137273340643,0.0417592380664,0.0,-0.211162101437,0.0300854464224,2.85744437065,-0.00245065253027,0.012818146325,0.0,410.5377532972828,408.69216302099005,410.6824664236452,409.1761302880998
1.2600000000000007,-0.0742910715095,0.00222439737911,11.9975231838,0.0133515840329,0.0424349216122,0.0,-0.242728532197,0.040339139296,3.01949081351,-0.0152521573381,0.00795044309212,0.0,464.3351659651788,463.95301430799674,464.33702728531244,463.3317755053867
