time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
5.0399999999999805,0.0,0.0,136.74512462,0.0,0.0,0.0,0.0,0.0,28.1961971618,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,136.749096003,0.0,0.0,0.0,0.0,0.0,28.1726881968,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,136.744438727,0.0,0.0,0.0,0.0,0.0,28.1787957709,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.040343466,0.0,0.0,0.0,0.0,0.0,28.1781414017,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.037650518,0.0,0.0,0.0,0.0,0.0,28.1707706503,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.078961012,0.0,0.0,0.0,0.0,0.0,28.1817953468,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.076294343,0.0,0.0,0.0,0.0,0.0,28.1840213758,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.068050076,0.0,0.0,0.0,0.0,0.0,28.1869483031,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.045077554,0.0,0.0,0.0,0.0,0.0,28.1710504579,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.032150302,0.0,0.0,0.0,0.0,0.0,28.1796778123,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.03742375,0.0,0.0,0.0,0.0,0.0,28.1853934067,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.024254342,0.0,0.0,0.0,0.0,0.0,28.1774161178,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.01985679,0.0,0.0,0.0,0.0,0.0,28.1840931367,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.037515556,0.0,0.0,0.0,0.0,0.0,28.1805132302,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.030029784,0.0,0.0,0.0,0.0,0.0,28.175966753,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
5.0399999999999805,0.0,0.0,138.049160391,0.0,0.0,0.0,0.0,0.0,28.1778663772,0.0,0.0,0.0,426.4928388370791,423.57988613541863,425.4646645990449,424.31126570473924
